,Year,Projected Adjusted Sea Level (in),Projected Global Surface Temperature Anomaly (celsius),Projected Greenland Ice Mass Change (billion metric tons),Projected Global CO2 Emissions (billion metric tons)
230,2253,36.99583457702655,3.6354516999999973,-44519.935,174.34246999999982
231,2254,37.113606290779394,3.647160599999996,-44695.330000000016,174.92745999999988
232,2255,37.23137800453223,3.658869499999998,-44870.725000000035,175.51244999999994
233,2256,37.34914971828507,3.6705783999999966,-45046.119999999995,176.09744
234,2257,37.46692143203788,3.6822872999999987,-45221.515000000014,176.68242999999984
235,2258,37.58469314579072,3.6939961999999973,-45396.91000000003,177.2674199999999
236,2259,37.70246485954357,3.705705099999996,-45572.30500000005,177.85240999999996
237,2260,37.820236573296405,3.717413999999998,-45747.70000000001,178.43740000000003
238,2261,37.938008287049215,3.7291228999999966,-45923.09500000003,179.02238999999986
239,2262,38.05578000080206,3.7408317999999987,-46098.49000000005,179.60737999999992
240,2263,38.17355171455489,3.7525406999999973,-46273.88500000001,180.19236999999998
241,2264,38.2913234283077,3.764249599999996,-46449.28000000003,180.77735999999982
242,2265,38.40909514206054,3.775958499999998,-46624.67500000005,181.36234999999988
243,2266,38.526866855813374,3.7876673999999966,-46800.07000000001,181.94733999999994
244,2267,38.644638569566226,3.7993762999999987,-46975.465000000026,182.53233
245,2268,38.762410283319035,3.8110851999999973,-47150.860000000044,183.11731999999984
246,2269,38.88018199707187,3.822794099999996,-47326.255000000005,183.7023099999999
247,2270,38.99795371082471,3.834502999999998,-47501.65000000002,184.28729999999996
248,2271,39.115725424577555,3.8462118999999966,-47677.04500000004,184.87229000000002
249,2272,39.23349713833036,3.8579207999999987,-47852.44,185.45727999999986
250,2273,39.3512688520832,3.8696296999999973,-48027.83500000002,186.04226999999992
251,2274,39.469040565836046,3.881338599999996,-48203.23000000004,186.62725999999998
252,2275,39.58681227958885,3.893047499999998,-48378.625,187.2122499999998
253,2276,39.70458399334169,3.9047563999999966,-48554.02000000002,187.79723999999987
254,2277,39.82235570709454,3.9164652999999987,-48729.41500000004,188.38222999999994
255,2278,39.94012742084737,3.9281741999999973,-48904.81,188.96722
256,2279,40.057899134600184,3.939883099999996,-49080.205000000016,189.55220999999983
257,2280,40.17567084835303,3.951591999999998,-49255.600000000035,190.1371999999999
258,2281,40.29344256210586,3.9633008999999966,-49430.994999999995,190.72218999999996
259,2282,40.411214275858704,3.9750097999999987,-49606.390000000014,191.30718000000002
260,2283,40.52898598961152,3.9867186999999973,-49781.78500000003,191.89216999999985
261,2284,40.64675770336436,3.998427599999996,-49957.18000000005,192.4771599999999
262,2285,40.764529417117195,4.010136499999998,-50132.57500000001,193.06214999999997
263,2286,40.88230113087003,4.021845399999997,-50307.97000000003,193.64714000000004
264,2287,41.00007284462284,4.033554299999999,-50483.36500000005,194.23212999999987
265,2288,41.11784455837568,4.045263199999997,-50658.76000000001,194.81711999999993
266,2289,41.235616272128524,4.056972099999996,-50834.15500000003,195.40211
267,2290,41.353387985881334,4.068680999999998,-51009.55000000005,195.98709999999983
268,2291,41.47115969963417,4.080389899999997,-51184.94500000001,196.5720899999999
269,2292,41.588931413387016,4.092098799999999,-51360.340000000026,197.15707999999995
270,2293,41.70670312713985,4.103807699999997,-51535.735000000044,197.74207
271,2294,41.824474840892655,4.115516599999996,-51711.130000000005,198.32705999999985
272,2295,41.9422465546455,4.127225499999998,-51886.52500000002,198.9120499999999
273,2296,42.060018268398345,4.138934399999997,-52061.92000000004,199.49703999999997
274,2297,42.177789982151175,4.150643299999999,-52237.315,200.08203000000003
275,2298,42.29556169590399,4.162352199999997,-52412.71000000002,200.66701999999987
276,2299,42.413333409656836,4.174061099999996,-52588.10500000004,201.25200999999993
277,2300,42.531105123409674,4.185769999999998,-52763.5,201.837
278,2301,42.64887683716248,4.197478899999997,-52938.89500000002,202.42198999999982
279,2302,42.76664855091533,4.209187799999999,-53114.29000000004,203.00697999999988
280,2303,42.88442026466816,4.220896699999997,-53289.685,203.59196999999995
281,2304,43.002191978421,4.232605599999996,-53465.080000000016,204.17696
282,2305,43.11996369217382,4.244314499999998,-53640.475000000035,204.76194999999984
283,2306,43.23773540592665,4.256023399999997,-53815.869999999995,205.3469399999999
284,2307,43.355507119679494,4.267732299999999,-53991.265000000014,205.93192999999997
285,2308,43.47327883343234,4.279441199999997,-54166.66000000003,206.51692000000003
286,2309,43.59105054718515,4.291150099999996,-54342.05500000005,207.10190999999986
287,2310,43.708822260937986,4.302858999999998,-54517.45000000001,207.68689999999992
288,2311,43.82659397469083,4.314567899999997,-54692.84500000003,208.27188999999998
289,2312,43.94436568844363,4.326276799999999,-54868.24000000005,208.85687999999982
290,2313,44.06213740219647,4.337985699999997,-55043.63500000001,209.44186999999988
291,2314,44.179909115949314,4.349694599999996,-55219.03000000003,210.02685999999994
292,2315,44.29768082970216,4.361403499999998,-55394.42500000005,210.61185
293,2316,44.415452543454954,4.373112399999997,-55569.82000000001,211.19683999999984
294,2317,44.533224257207806,4.384821299999999,-55745.215000000026,211.7818299999999
295,2318,44.65099597096064,4.396530199999997,-55920.610000000044,212.36681999999996
296,2319,44.76876768471348,4.408239099999996,-56096.005000000005,212.95181000000002
297,2320,44.88653939846629,4.419947999999998,-56271.40000000002,213.53679999999986
298,2321,45.004311112219135,4.431656899999997,-56446.79500000004,214.12178999999992
299,2322,45.12208282597197,4.443365799999999,-56622.19,214.70677999999998
